Replication,Locations,Variety,Phenotype
1,1,1,-2.316516483
1,1,2,-2.294280218
1,1,3,-0.575182044
1,1,4,1.030732407
1,1,5,0.602034386
1,1,6,0.150848235
1,1,7,-0.034519343
1,1,8,0.173012184
1,1,9,0.007278785
1,1,10,-1.468975656
1,1,11,-2.599406762
1,1,12,1.519601594
1,1,13,-2.652814567
1,1,14,-3.795581691
1,1,15,-4.535262601
1,1,16,1.238287796
1,1,17,-1.77635016
1,1,18,-2.457086563
1,1,19,-1.648983413
1,1,20,-2.405369027
1,1,21,-3.138759213
1,1,22,-0.239064179
1,1,23,0.379291498
1,1,24,-1.196132882
1,1,25,0.112431007
1,1,26,-0.595034668
1,1,27,-2.438861239
1,1,28,-0.715543784
1,1,29,-1.837137299
1,1,30,-0.734207582
1,1,31,-1.832689305
1,1,32,-0.167354136
1,1,33,-3.262746303
1,1,34,-0.276520653
1,1,35,-1.500130389
1,1,36,-3.554329752
1,1,37,-1.085927868
1,1,38,-1.492667948
1,1,39,1.26427334
1,1,40,0.334119161
1,1,41,-2.101582771
1,1,42,-3.050030859
1,1,43,-1.306876042
1,1,44,-0.136731048
1,1,45,-2.692937747
1,1,46,-0.713037808
1,1,47,-4.20251934
1,1,48,0.227883992
1,1,49,-0.922893216
1,1,50,1.043795692
1,1,51,1.505929475
1,1,52,3.639559662
1,1,53,1.851242338
1,1,54,-1.285700692
1,1,55,-2.103630959
1,1,56,0.499478801
1,1,57,-1.816412368
1,1,58,-0.036508723
1,1,59,-0.313859761
1,1,60,0.460660947
1,1,61,1.989245093
1,1,62,2.556309737
1,1,63,-1.042121994
1,1,64,2.395462278
1,1,65,3.73611716
1,1,66,0.903124084
1,1,67,-0.634856375
1,1,68,0.830569486
1,1,69,-1.863657442
1,1,70,3.826012124
1,1,71,0.696344092
1,1,72,0.623988108
1,1,73,2.529281686
1,1,74,-3.060233717
1,1,75,-0.966341977
1,1,76,-0.70502525
1,1,77,-1.925870141
1,1,78,-1.129499737
1,1,79,0.519715112
1,1,80,0.288285307
1,1,81,2.217311336
1,1,82,2.43607897
1,1,83,0.704968123
1,1,84,2.128884319
1,1,85,-1.524808008
1,1,86,-1.907221405
1,1,87,-0.585016182
1,1,88,2.564182533
1,1,89,-0.099655695
1,1,90,0.593786105
1,1,91,1.075000486
1,1,92,0.289106057
1,1,93,-0.702120921
1,1,94,0.463942897
1,1,95,-0.000692899
1,1,96,1.118293652
1,1,97,-0.110346341
1,1,98,-0.09005001
1,1,99,-0.20345741
1,1,100,0.843242487
1,1,101,-1.347048973
1,1,102,-3.772792391
1,1,103,-0.932665777
1,1,104,-1.698804619
1,1,105,-1.801356981
1,1,106,-0.680016213
1,1,107,-1.784735628
1,1,108,0.388855594
1,1,109,-1.560945168
1,1,110,-1.476807262
1,1,111,-2.304070809
1,1,112,1.161328907
1,1,113,0.515269395
1,1,114,-1.173748963
1,1,115,-1.305211219
1,1,116,0.692471115
1,1,117,-1.600437528
1,1,118,0.156243085
1,1,119,-3.113176341
1,1,120,0.361474575
2,1,1,-0.275187534
2,1,2,-3.266709777
2,1,3,-0.465752475
2,1,4,1.48723151
2,1,5,0.248195651
2,1,6,-0.90326883
2,1,7,0.864269385
2,1,8,-1.470404796
2,1,9,1.054585687
2,1,10,-0.28512608
2,1,11,-2.096359056
2,1,12,-1.368499903
2,1,13,-0.795177337
2,1,14,-4.827547154
2,1,15,-0.616775472
2,1,16,1.738397831
2,1,17,-3.626978146
2,1,18,-2.653831575
2,1,19,0.417657772
2,1,20,-0.59241596
2,1,21,-3.503146041
2,1,22,-1.140094249
2,1,23,1.970607302
2,1,24,-1.406444546
2,1,25,1.586282928
2,1,26,0.708425558
2,1,27,-1.07393275
2,1,28,-0.132021374
2,1,29,1.16186409
2,1,30,-0.469600038
2,1,31,-3.927784088
2,1,32,-0.718276457
2,1,33,-2.799834919
2,1,34,-1.129983149
2,1,35,-1.860910972
2,1,36,-3.335552014
2,1,37,-1.188264776
2,1,38,-2.086958881
2,1,39,-0.622124112
2,1,40,-1.111781069
2,1,41,-2.131519565
2,1,42,-3.829676601
2,1,43,-2.635269598
2,1,44,-1.602662084
2,1,45,1.445196143
2,1,46,-0.238009408
2,1,47,-3.001820938
2,1,48,1.038677594
2,1,49,2.037651761
2,1,50,0.860646885
2,1,51,0.560354943
2,1,52,2.295722126
2,1,53,0.402196297
2,1,54,-2.302224026
2,1,55,-0.382293768
2,1,56,-0.795739802
2,1,57,0.845191098
2,1,58,-2.233555483
2,1,59,-2.356077999
2,1,60,2.319815004
2,1,61,0.170956715
2,1,62,0.257194671
2,1,63,-1.222504969
2,1,64,1.726475185
2,1,65,1.203587381
2,1,66,0.134137251
2,1,67,2.520667793
2,1,68,-1.384173724
2,1,69,0.497011459
2,1,70,3.544829131
2,1,71,1.927111964
2,1,72,1.41164552
2,1,73,2.027538494
2,1,74,-0.956209169
2,1,75,-0.4556079
2,1,76,-2.327893789
2,1,77,0.234358387
2,1,78,0.237608298
2,1,79,0.075889662
2,1,80,4.24099243
2,1,81,1.867149524
2,1,82,0.245302063
2,1,83,0.356081497
2,1,84,-1.267607011
2,1,85,0.44963161
2,1,86,-1.50378858
2,1,87,-1.71119665
2,1,88,2.350372185
2,1,89,3.307083309
2,1,90,-0.638099217
2,1,91,-0.32851882
2,1,92,0.668780976
2,1,93,-0.071945575
2,1,94,1.742821326
2,1,95,-0.90585766
2,1,96,3.077998417
2,1,97,1.035453477
2,1,98,-1.453385098
2,1,99,0.60280374
2,1,100,0.268344233
2,1,101,-0.186019354
2,1,102,-1.788355533
2,1,103,-1.641260909
2,1,104,-1.667737755
2,1,105,-3.509065364
2,1,106,-0.353199849
2,1,107,1.228632573
2,1,108,0.337007238
2,1,109,-3.122205278
2,1,110,-2.945560757
2,1,111,-2.246844412
2,1,112,0.455614178
2,1,113,0.045139501
2,1,114,0.062421102
2,1,115,-2.607155852
2,1,116,2.709403649
2,1,117,-0.7917494
2,1,118,0.694776216
2,1,119,-0.927667116
2,1,120,0.84619665
1,2,1,-0.504951505
1,2,2,-0.268448151
1,2,3,2.053082866
1,2,4,0.874586124
1,2,5,-2.102821516
1,2,6,1.563312
1,2,7,2.514466243
1,2,8,-2.348719603
1,2,9,2.087719704
1,2,10,-0.539953593
1,2,11,-1.607195994
1,2,12,1.150685717
1,2,13,-1.622140681
1,2,14,-2.420192291
1,2,15,-2.790576239
1,2,16,2.211256594
1,2,17,0.102527776
1,2,18,-3.515875242
1,2,19,-1.194339374
1,2,20,-1.20441633
1,2,21,-0.67640364
1,2,22,0.097271556
1,2,23,-2.798196833
1,2,24,2.073273823
1,2,25,0.430255442
1,2,26,1.523269639
1,2,27,-0.748213335
1,2,28,0.720688496
1,2,29,0.959062382
1,2,30,-1.6558744
1,2,31,-2.522340438
1,2,32,0.507819802
1,2,33,-1.753311661
1,2,34,-2.773088219
1,2,35,-3.563694868
1,2,36,-0.981608118
1,2,37,2.362611015
1,2,38,0.646840452
1,2,39,0.870205452
1,2,40,1.872108773
1,2,41,-2.7072689
1,2,42,-0.089500166
1,2,43,-0.145409436
1,2,44,-0.080038573
1,2,45,-1.530934358
1,2,46,0.495013769
1,2,47,-3.708042181
1,2,48,0.941772984
1,2,49,2.997983281
1,2,50,1.41297814
1,2,51,1.392326003
1,2,52,3.905262777
1,2,53,1.65558916
1,2,54,1.850385245
1,2,55,-0.408990089
1,2,56,2.203226011
1,2,57,3.673282167
1,2,58,2.773275257
1,2,59,0.320897755
1,2,60,2.002128825
1,2,61,1.65584794
1,2,62,-0.225707479
1,2,63,0.680569253
1,2,64,0.759513405
1,2,65,0.484510344
1,2,66,1.961187515
1,2,67,-0.129295076
1,2,68,0.354848208
1,2,69,2.937032015
1,2,70,1.828706344
1,2,71,0.230921778
1,2,72,2.049444964
1,2,73,-0.373296798
1,2,74,-0.858407628
1,2,75,1.229865067
1,2,76,-0.064478769
1,2,77,1.651484059
1,2,78,1.169910557
1,2,79,3.728207452
1,2,80,0.481452818
1,2,81,4.142099734
1,2,82,2.481619787
1,2,83,1.012520883
1,2,84,0.14792573
1,2,85,1.494693917
1,2,86,-2.166607185
1,2,87,-0.570061301
1,2,88,2.702275447
1,2,89,0.546940582
1,2,90,0.139074872
1,2,91,2.819894709
1,2,92,3.432365019
1,2,93,-0.530101759
1,2,94,2.635020629
1,2,95,-0.946567712
1,2,96,2.963871535
1,2,97,-0.502456874
1,2,98,-0.480851259
1,2,99,2.248882114
1,2,100,-0.118772943
1,2,101,-0.914406943
1,2,102,0.577027373
1,2,103,0.539567084
1,2,104,1.862501645
1,2,105,1.627122847
1,2,106,0.973331508
1,2,107,1.808760558
1,2,108,0.598886664
1,2,109,-0.109141317
1,2,110,1.261652754
1,2,111,-0.624126947
1,2,112,6.357516237
1,2,113,-0.776648727
1,2,114,-0.660254885
1,2,115,1.952644247
1,2,116,-0.157046874
1,2,117,-0.106083531
1,2,118,1.940116583
1,2,119,-1.063547344
1,2,120,3.355013287
2,2,1,-0.101096389
2,2,2,-3.810011484
2,2,3,-2.526036253
2,2,4,0.955129972
2,2,5,1.057645944
2,2,6,-0.677288705
2,2,7,-1.13713898
2,2,8,-0.163576666
2,2,9,-1.135640011
2,2,10,1.613102747
2,2,11,-1.110328889
2,2,12,-2.762623397
2,2,13,-1.068653605
2,2,14,-2.526161486
2,2,15,-0.035571817
2,2,16,0.995952497
2,2,17,-1.330469858
2,2,18,-0.852448384
2,2,19,0.352941878
2,2,20,0.255163381
2,2,21,-2.451917843
2,2,22,-1.525094288
2,2,23,0.09072101
2,2,24,-0.108358409
2,2,25,-0.266711003
2,2,26,-0.435644725
2,2,27,-1.336738454
2,2,28,-0.28613389
2,2,29,2.424223403
2,2,30,-0.545045418
2,2,31,1.306243131
2,2,32,-2.113986235
2,2,33,0.080349036
2,2,34,-2.22919775
2,2,35,-1.634548441
2,2,36,-3.448853261
2,2,37,-0.734961802
2,2,38,0.406738599
2,2,39,-0.658071764
2,2,40,0.291118906
2,2,41,-1.650680589
2,2,42,-1.876236078
2,2,43,-0.063158482
2,2,44,0.98886657
2,2,45,0.851498327
2,2,46,-0.25958248
2,2,47,0.926145096
2,2,48,0.778899245
2,2,49,1.212004769
2,2,50,1.342533202
2,2,51,3.033595342
2,2,52,0.625351451
2,2,53,4.574234735
2,2,54,0.286504505
2,2,55,2.129458254
2,2,56,1.160895516
2,2,57,-0.362948226
2,2,58,0.344034738
2,2,59,0.200905007
2,2,60,4.744578164
2,2,61,0.138636618
2,2,62,0.955529216
2,2,63,-0.46688897
2,2,64,-0.642635984
2,2,65,2.684300066
2,2,66,2.144562455
2,2,67,-0.47727676
2,2,68,0.931217227
2,2,69,0.892993996
2,2,70,0.268506564
2,2,71,2.397193236
2,2,72,3.278327378
2,2,73,1.855653215
2,2,74,1.520463417
2,2,75,-1.034165909
2,2,76,-1.767653938
2,2,77,-0.867876377
2,2,78,0.244187226
2,2,79,2.047219156
2,2,80,-0.28540121
2,2,81,6.460534467
2,2,82,3.278179318
2,2,83,0.683887194
2,2,84,-0.787333842
2,2,85,0.103568937
2,2,86,0.899869754
2,2,87,-0.815126989
2,2,88,0.050820039
2,2,89,2.414181548
2,2,90,-1.333931586
2,2,91,1.230859935
2,2,92,2.167978966
2,2,93,0.777129809
2,2,94,2.029138855
2,2,95,0.038260637
2,2,96,0.507566986
2,2,97,3.109623177
2,2,98,1.191547865
2,2,99,2.874399201
2,2,100,-0.358806417
2,2,101,1.37134377
2,2,102,-1.00369073
2,2,103,-0.863090723
2,2,104,-0.143340367
2,2,105,1.849878811
2,2,106,-1.954627633
2,2,107,0.553280102
2,2,108,1.354670205
2,2,109,0.925077632
2,2,110,-2.347330512
2,2,111,1.282795327
2,2,112,0.670346834
2,2,113,1.354459641
2,2,114,2.763604137
2,2,115,4.04982786
2,2,116,2.825922498
2,2,117,-0.152723678
2,2,118,1.442977362
2,2,119,0.509137922
2,2,120,2.136186209
1,3,1,1.379437248
1,3,2,0.7929255
1,3,3,-2.124380491
1,3,4,3.670655145
1,3,5,3.829907213
1,3,6,4.627889545
1,3,7,0.115622475
1,3,8,0.511330316
1,3,9,0.575151831
1,3,10,1.674044472
1,3,11,0.334260082
1,3,12,0.425354534
1,3,13,0.166862466
1,3,14,0.833692172
1,3,15,-2.322941915
1,3,16,-0.713600772
1,3,17,-0.045322919
1,3,18,-0.149229324
1,3,19,-1.030954752
1,3,20,-1.628288101
1,3,21,-0.068849353
1,3,22,0.618340494
1,3,23,1.327975182
1,3,24,1.738740754
1,3,25,2.202287909
1,3,26,-0.456529515
1,3,27,1.5253666
1,3,28,-1.830705485
1,3,29,0.862027734
1,3,30,3.372197042
1,3,31,2.326906239
1,3,32,-0.790756379
1,3,33,-1.513958722
1,3,34,1.728594656
1,3,35,-1.610520554
1,3,36,-2.880289556
1,3,37,0.052273378
1,3,38,0.573640358
1,3,39,5.547737019
1,3,40,-1.486638093
1,3,41,2.358247369
1,3,42,0.582898377
1,3,43,0.548576953
1,3,44,2.715131668
1,3,45,-0.013188091
1,3,46,0.973299553
1,3,47,2.379076285
1,3,48,1.080836206
1,3,49,2.636953254
1,3,50,3.459243698
1,3,51,4.044727777
1,3,52,4.007435953
1,3,53,4.863389734
1,3,54,5.328163517
1,3,55,2.835245365
1,3,56,6.394580473
1,3,57,3.159567124
1,3,58,3.542756124
1,3,59,7.549848583
1,3,60,3.263289648
1,3,61,6.084890911
1,3,62,0.942322455
1,3,63,3.656384749
1,3,64,1.367615078
1,3,65,3.906419612
1,3,66,1.99730905
1,3,67,-1.648015348
1,3,68,1.503574771
1,3,69,3.645546297
1,3,70,3.543246259
1,3,71,-0.003192165
1,3,72,3.321422152
1,3,73,4.86371741
1,3,74,4.163526239
1,3,75,0.308009746
1,3,76,2.649709203
1,3,77,4.264474158
1,3,78,3.842326284
1,3,79,3.770424868
1,3,80,3.196155433
1,3,81,4.572022357
1,3,82,3.705565953
1,3,83,5.117918487
1,3,84,2.229548551
1,3,85,-1.137417079
1,3,86,1.618265648
1,3,87,2.796817727
1,3,88,0.638990033
1,3,89,1.093348128
1,3,90,1.247642035
1,3,91,2.812084585
1,3,92,2.774818679
1,3,93,0.329903185
1,3,94,0.901685106
1,3,95,1.269336076
1,3,96,4.645834035
1,3,97,-0.893420568
1,3,98,2.528047566
1,3,99,2.486989532
1,3,100,3.227483952
1,3,101,0.351478475
1,3,102,5.446593386
1,3,103,2.283665988
1,3,104,-0.799437165
1,3,105,0.518980526
1,3,106,2.982262919
1,3,107,4.10404616
1,3,108,0.2232353
1,3,109,4.652738389
1,3,110,1.689199805
1,3,111,2.271469427
1,3,112,1.251556634
1,3,113,3.825743086
1,3,114,2.682592242
1,3,115,4.13527671
1,3,116,3.54890987
1,3,117,1.005982454
1,3,118,2.941399198
1,3,119,0.811729142
1,3,120,6.493977445
2,3,1,-1.23201661
2,3,2,-1.204877292
2,3,3,1.418857673
2,3,4,3.289734864
2,3,5,-0.548960513
2,3,6,4.730706054
2,3,7,0.793558139
2,3,8,-0.645782497
2,3,9,0.528543564
2,3,10,0.82647033
2,3,11,0.257951196
2,3,12,0.195705789
2,3,13,-0.766415061
2,3,14,-0.828121806
2,3,15,0.794392352
2,3,16,0.739426912
2,3,17,-0.760023995
2,3,18,-3.271396644
2,3,19,2.066190047
2,3,20,-0.779273257
2,3,21,0.031922989
2,3,22,0.068970218
2,3,23,-0.528052198
2,3,24,-0.678629414
2,3,25,0.873700246
2,3,26,-0.067544737
2,3,27,2.737064031
2,3,28,0.052070795
2,3,29,1.435218026
2,3,30,-0.091049919
2,3,31,-1.289958849
2,3,32,2.133266627
2,3,33,1.291074687
2,3,34,-2.199281035
2,3,35,-0.036190946
2,3,36,-0.792989059
2,3,37,-1.239227715
2,3,38,0.166345145
2,3,39,2.302589067
2,3,40,-0.205575478
2,3,41,1.083832974
2,3,42,2.548844502
2,3,43,6.434729451
2,3,44,3.340523152
2,3,45,1.898451633
2,3,46,1.19666874
2,3,47,-0.757804026
2,3,48,1.707710633
2,3,49,5.412015516
2,3,50,1.817472956
2,3,51,3.041665867
2,3,52,0.669399718
2,3,53,3.713979649
2,3,54,5.575877205
2,3,55,2.256117863
2,3,56,2.457666559
2,3,57,4.955177271
2,3,58,1.584098607
2,3,59,7.499369979
2,3,60,1.299967717
2,3,61,2.428004436
2,3,62,2.328707131
2,3,63,1.557535266
2,3,64,2.843047184
2,3,65,2.561608445
2,3,66,2.573427124
2,3,67,1.616757875
2,3,68,1.569815815
2,3,69,4.336216504
2,3,70,1.205990501
2,3,71,3.41659845
2,3,72,3.255895117
2,3,73,3.04374516
2,3,74,2.982684933
2,3,75,-0.743940037
2,3,76,1.361221192
2,3,77,3.864285415
2,3,78,5.162506171
2,3,79,6.852379831
2,3,80,1.362710675
2,3,81,3.854843802
2,3,82,3.043947028
2,3,83,3.883114526
2,3,84,4.450012626
2,3,85,3.342498388
2,3,86,-0.240719777
2,3,87,-1.293236844
2,3,88,2.567788314
2,3,89,-0.045133183
2,3,90,3.522685763
2,3,91,2.440776187
2,3,92,3.52497858
2,3,93,-0.53962369
2,3,94,3.807460209
2,3,95,2.25003381
2,3,96,6.203215446
2,3,97,0.413296753
2,3,98,1.400087123
2,3,99,1.223986604
2,3,100,1.465749376
2,3,101,1.163470927
2,3,102,1.116358687
2,3,103,-0.129708081
2,3,104,1.352023854
2,3,105,1.866851878
2,3,106,-1.215880826
2,3,107,2.702899485
2,3,108,4.562802629
2,3,109,3.872932513
2,3,110,5.278886105
2,3,111,-0.493217689
2,3,112,4.069349116
2,3,113,1.384705144
2,3,114,1.967699645
2,3,115,2.944382709
2,3,116,1.966507319
2,3,117,2.1046516
2,3,118,5.947150205
2,3,119,1.149045545
2,3,120,3.670393067